tradedate,weekday
20190102,3
20190103,4
20190104,5
20190107,1
20190108,2
20190109,3
20190110,4
20190111,5
20190114,1
20190115,2
20190116,3
20190117,4
20190118,5
20190121,1
20190122,2
20190123,3
20190124,4
20190125,5
20190128,1
20190129,2
20190130,3
20190131,4
20190201,5
20190211,1
20190212,2
20190213,3
20190214,4
20190215,5
20190218,1
20190219,2
20190220,3
20190221,4
20190222,5
20190225,1
20190226,2
20190227,3
20190228,4
20190301,5
20190304,1
20190305,2
20190306,3
20190307,4
20190308,5
20190311,1
20190312,2
20190313,3
20190314,4
20190315,5
20190318,1
20190319,2
20190320,3
20190321,4
20190322,5
20190325,1
20190326,2
20190327,3
20190328,4
20190329,5
20190401,1
20190402,2
20190403,3
20190404,4
20190408,1
20190409,2
20190410,3
20190411,4
20190412,5
20190415,1
20190416,2
20190417,3
20190418,4
20190419,5
20190422,1
20190423,2
20190424,3
20190425,4
20190426,5
20190429,1
20190430,2
20190506,1
20190507,2
20190508,3
20190509,4
20190510,5
20190513,1
20190514,2
20190515,3
20190516,4
20190517,5
20190520,1
20190521,2
20190522,3
20190523,4
20190524,5
20190527,1
20190528,2
20190529,3
20190530,4
20190531,5
20190603,1
20190604,2
20190605,3
20190606,4
20190610,1
20190611,2
20190612,3
20190613,4
20190614,5
20190617,1
20190618,2
20190619,3
20190620,4
20190621,5
20190624,1
20190625,2
20190626,3
20190627,4
20190628,5
20190701,1
20190702,2
20190703,3
20190704,4
20190705,5
20190708,1
20190709,2
20190710,3
20190711,4
20190712,5
20190715,1
20190716,2
20190717,3
20190718,4
20190719,5
20190722,1
20190723,2
20190724,3
20190725,4
20190726,5
20190729,1
20190730,2
20190731,3
20190801,4
20190802,5
20190805,1
20190806,2
20190807,3
20190808,4
20190809,5
20190812,1
20190813,2
20190814,3
20190815,4
20190816,5
20190819,1
20190820,2
20190821,3
20190822,4
20190823,5
20190826,1
20190827,2
20190828,3
20190829,4
20190830,5
20190902,1
20190903,2
20190904,3
20190905,4
20190906,5
20190909,1
20190910,2
20190911,3
20190912,4
20190916,1
20190917,2
20190918,3
20190919,4
20190920,5
20190923,1
20190924,2
20190925,3
20190926,4
20190927,5
20190930,1
20191008,2
20191009,3
20191010,4
20191011,5
20191014,1
20191015,2
20191016,3
20191017,4
20191018,5
20191021,1
20191022,2
20191023,3
20191024,4
20191025,5
20191028,1
20191029,2
20191030,3
20191031,4
20191101,5
20191104,1
20191105,2
20191106,3
20191107,4
20191108,5
20191111,1
20191112,2
20191113,3
20191114,4
20191115,5
20191118,1
20191119,2
20191120,3
20191121,4
20191122,5
20191125,1
20191126,2
20191127,3
20191128,4
20191129,5
20191202,1
20191203,2
20191204,3
20191205,4
20191206,5
20191209,1
20191210,2
20191211,3
20191212,4
20191213,5
20191216,1
20191217,2
20191218,3
20191219,4
20191220,5
20191223,1
20191224,2
20191225,3
20191226,4
20191227,5
20191230,1
20191231,2
